model_id,model,first_release,brand,price
21385PZSXE,Suburban 1500,2007,Chevrolet,443973
40164WNEOG,Safari,2005,GMC,351316
88961BJIGE,MX-5,1997,Mazda,476846
53378QJKHO,Town Car,1999,Lincoln,78847
84427PGRZG,Sedona,2011,Kia,138475
52571YLJFU,Safari,1995,GMC,267771
23451TJCEZ,Cutlass,1998,Oldsmobile,163246
34013MTQYK,Expo,1992,Mitsubishi,154134
47957FTOBQ,SLK-Class,2000,Mercedes-Benz,448517
62766JSYLC,Charger,2007,Dodge,362675
01113NKLFK,Grand Prix,1997,Pontiac,65815
10706QTEGV,Suburban 1500,1995,Chevrolet,60036
60463ILRGE,Suburban 1500,2006,Chevrolet,8174
66271XGYSA,3-Sep,2003,Saab,220620
37248SVQFP,H1,2001,Hummer,241369
56414TXOMM,Mark VII,1984,Lincoln,434151
96905DGNXV,VUE,2005,Saturn,278958
02228NOJUO,Corvette,1988,Chevrolet,278210
28607PJGVG,Scoupe,1994,Hyundai,444927
14852RMILI,Maxima,1995,Nissan,22948
27944JPSLB,GranTurismo,2010,Maserati,291045
18796ERGBK,Navigator,2000,Lincoln,124712
90881GOCUV,3-Sep,2009,Saab,9422
91840ABVMY,Sidekick,1997,Suzuki,441164
92744LJUVI,Grand Prix,1990,Pontiac,216934
62599TDXPF,Viper,2003,Dodge,349483
51749SILVI,Silverado 3500,2008,Chevrolet,366170
35092HVVHN,CX-7,2011,Mazda,108914
84468GNBMX,TundraMax,2012,Toyota,172474
01632YTQRY,H3T,2010,Hummer,243666
47106DGXAW,300TE,1992,Mercedes-Benz,218896
90807DLJUO,S-Type,2001,Jaguar,63680
20001CNUCM,MR2,1985,Toyota,123025
74669OTCAS,Sephia,1999,Kia,399232
83458QDVDE,Astro,1992,Chevrolet,182687
60202OATAC,LeMans,1968,Pontiac,265374
08632RNFSU,Town Car,1995,Lincoln,152532
12614ZCXKU,Regal,1999,Buick,471208
94575NAUET,New Yorker,1994,Chrysler,115354
10730DSLOA,Outlander,2012,Mitsubishi,134414
11938CGKFN,Alero,2003,Oldsmobile,333507
01069YZYOM,X5,2009,BMW,394786
76788TRVDY,Insight,2005,Honda,168580
93631DXDQC,100,1992,Audi,283221
56483FSLNP,Millenia,2000,Mazda,111984
15202DNKVY,Dakota,2007,Dodge,340286
53938BPNVP,Suburban 2500,1995,GMC,481856
71238ESJEJ,Neon,2005,Dodge,185009
34023FWZNL,SL-Class,1999,Mercedes-Benz,331131
28811ZYSRG,Amigo,1999,Isuzu,419256
75794KDEYY,XLR-V,2008,Cadillac,5171
65431BGUOK,Suburban 2500,2005,Chevrolet,35222
73312ULUTY,Sebring,2005,Chrysler,401311
56971JUPOT,Bonneville,1999,Pontiac,178322
96500CPHGX,Pajero,2002,Mitsubishi,398849
27790KOSNK,Sonoma,1992,GMC,35883
63845HVNUO,Mountaineer,2001,Mercury,13275
59647CBAND,Rally Wagon 3500,1993,GMC,365794
40292GLJYO,Ram 2500 Club,1995,Dodge,29332
37467VPAWA,Astro,1995,Chevrolet,79249
53445WMUWS,Town Car,2005,Lincoln,372722
60338HTOHB,G-Class,2002,Mercedes-Benz,283754
81920YVSAE,Cabriolet,1997,Audi,301547
08961QQSUB,Space,1993,Isuzu,346367
10286GPFAJ,Sable,2003,Mercury,407532
49477YFEAB,Grand Vitara,2000,Suzuki,56583
53501DTTML,Swift,2001,Suzuki,392692
99103NUVEJ,Aerostar,1993,Ford,313472
58150ECHGM,G6,2006,Pontiac,123712
23876VQUMS,Eclipse,1995,Mitsubishi,447309
44246YGGDA,F450,2008,Ford,159848
22434JOWKH,Endeavor,2008,Mitsubishi,248440
05760HYIEE,GTO,1971,Pontiac,356949
62384EEUIG,XJ Series,2001,Jaguar,161592
38793DFDZW,Express 2500,1996,Chevrolet,115117
73286WMKRD,Gallardo,2011,Lamborghini,368925
12633KZZMC,57,2012,Maybach,165043
73042PEHKW,Q,2002,Infiniti,347547
27672EORLJ,F250,2006,Ford,294406
79980VVMYB,V8 Vantage,2009,Aston Martin,221928
10045HFDKS,G6,2006,Pontiac,346399
32382YAGEK,Express 1500,1998,Chevrolet,419486
31204PBPPA,DBS,2010,Aston Martin,416105
56779CCSNT,Ram Van 3500,1996,Dodge,78044
97911PYRMW,Phaeton,2005,Volkswagen,121374
95651NOXXZ,Club Wagon,1996,Ford,416661
64065XJOTH,Nubira,2000,Daewoo,374628
39648CFKHY,Festiva,1991,Ford,275084
71631FGPBA,Crossfire,2005,Chrysler,256283
98550RDWNQ,Cooper,2010,MINI,185052
07267DLTLH,Passat,2001,Volkswagen,20585
67338SQJJE,Tracer,1988,Mercury,434646
67182SLEUT,Raider,2009,Mitsubishi,313052
17155CLUQS,3500,2012,Ram,208668
05321NYVGE,Challenger,2008,Dodge,109189
32209PLLVW,R-Class,2007,Mercedes-Benz,83584
34875VFWSA,Yukon XL 1500,2011,GMC,126509
51518DIAML,Avalon,2000,Toyota,396749
01714QMQHX,5-Sep,2011,Saab,41841
15822YJLBV,LX,2013,Lexus,436490
83776IGTGU,900,1988,Saab,135007
58104HOATM,Suburban 2500,1992,GMC,393774
69829RLUQU,Viper,1999,Dodge,58458
18821PMCLI,C70,2013,Volvo,178751
78545RJKWQ,Express 1500,2007,Chevrolet,324345
69434QYOWH,Swift,1991,Suzuki,342335
27879YNWWM,Passat,2010,Volkswagen,172388
32822OQGAB,Tacoma Xtra,1998,Toyota,453510
93608NWYHE,Regal,2002,Buick,226147
69035FZZMK,Tahoe,2000,Chevrolet,458777
48718CCRSJ,Protege,1992,Mazda,123438
75203HECSL,A4,2001,Audi,214704
81530MDQXF,Safari,2001,GMC,482976
89750MWNEU,Golf III,1994,Volkswagen,30428
29840EVFVM,Vibe,2007,Pontiac,312052
14002KPACE,5 Series,2007,BMW,26262
64856ZCAXS,GS,2013,Lexus,146122
77217ASFFK,Caravan,2005,Dodge,498823
66847QIYAY,Regal,1999,Buick,237816
17544BCCTL,Intrepid,1993,Dodge,128521
94539KOZBG,Corolla,1997,Toyota,278305
53430LBGSB,Silverado 2500,2012,Chevrolet,25699
26215FUNML,Impreza,1994,Subaru,461803
61532OTXET,Savana 3500,2008,GMC,27003
76371HDKVB,Regal,2000,Buick,357434
88568FGBBK,Enclave,2009,Buick,217679
79258MWPGL,Cherokee,2001,Jeep,224255
09569XHRII,Silverado,2011,Chevrolet,400338
35636YSGBO,Mustang,1983,Ford,250638
09790NICKX,X-Type,2002,Jaguar,328439
25464WPLFL,Explorer,1996,Ford,256400
34124DGLIB,Express,2009,Chevrolet,65407
79602JNQWY,Firebird,2002,Pontiac,343384
81271PUFQU,Cressida,1992,Toyota,92769
62596JFYYZ,Suburban 2500,1999,Chevrolet,471443
13459QZFNX,Ram 2500,2001,Dodge,244848
27608ETLDK,Bonneville,1991,Pontiac,403806
58957MHLES,Rally Wagon G2500,1995,GMC,351756
22400QHOPO,Avenger,2012,Dodge,136405
28302GONOA,Venture,2003,Chevrolet,158527
96699ZLXZH,Capri,1994,Mercury,229795
73053NCNHC,Cougar,2000,Mercury,46230
96719TNKCJ,ZX2,2001,Ford,329259
08928BWYJT,Thunderbird,1987,Ford,455983
48748VTWRF,240,1992,Volvo,92391
36792DRGYA,Discovery,1995,Land Rover,80654
56166TDASC,Spectra,2000,Kia,455120
93627VLEBL,Cutlass,1997,Oldsmobile,400651
68606YKXRE,S60,2012,Volvo,274444
91086FMREO,350Z,2009,Nissan,476859
99911CRPDM,Park Avenue,2003,Buick,306394
68436EWCFD,S80,2008,Volvo,433996
12692VPJYK,Tredia,1987,Mitsubishi,454102
38409WIKNY,Firebird,1990,Pontiac,97399
65614ELRCG,Rendezvous,2005,Buick,424664
75380KXMRY,Crown Victoria,2002,Ford,447028
24420EITWE,Defender,1994,Land Rover,448908
15304TERJH,Patriot,2010,Jeep,178626
04264CAJBV,8 Series,1994,BMW,298334
43058OCOIQ,Discovery,2006,Land Rover,422932
39641ZUOIF,Summit,1992,Eagle,276556
