license_plate,frame_number,model_id,color,category
9Z512,5TDBY5G10ES769759,40164WNEOG,Blue,motorcycle
727 JGD,5NPDH4AE1DH121155,53378QJKHO,Green,car
2LU 363,5XYKT3A13CG401677,23451TJCEZ,Puce,track
CFZ-382,WAUPFAFM1AA112019,01113NKLFK,Purple,track
072 4QK,WAUKC68D61A340935,60463ILRGE,Orange,car
BJ6 Y7V,WAUEFAFL3AN215188,37248SVQFP,Red,motorcycle
566 JNB,WAUKFAFL8EN066432,56414TXOMM,Orange,track
QSH-5559,1G6AX5S3XF0606342,96905DGNXV,Goldenrod,car
759-HKD,JA32X8HW8DU972423,02228NOJUO,Goldenrod,track
FQS4118,3C3CFFER8FT289943,28607PJGVG,Mauv,track
0U 0335S,WA1CGAFE9BD098324,18796ERGBK,Indigo,motorcycle
QDM-2037,1GYS3FEJ9BR330488,91840ABVMY,Indigo,track
RIU 090,5UXFH0C55BL445005,92744LJUVI,Fuscia,motorcycle
CGU4014,2T1KU4EE2CC798634,84468GNBMX,Red,track
KUM 150,1G6DK8E39C0221875,01632YTQRY,Aquamarine,motorcycle
257-AFM,WA1CV94L59D159944,20001CNUCM,Puce,track
0ZLD 20,SCBFU7ZA7EC145533,08632RNFSU,Orange,motorcycle
9ND 607,5GNRNGEEXA8735545,10730DSLOA,Teal,motorcycle
60B H04,2T1BU4EE4DC219466,01069YZYOM,Red,motorcycle
RK-4506,WBAPH5G56BN002361,93631DXDQC,Puce,motorcycle
UJN-843,1GYS3MKJ9FR793276,71238ESJEJ,Green,car
HYK 366,1G6D05EGXA0764995,34023FWZNL,Red,track
MBR 586,2HNYD2H24DH763613,28811ZYSRG,Pink,car
3TD 621,1GYFK43888R860579,96500CPHGX,Mauv,car
938 QHJ,WBAKF5C59DJ644217,59647CBAND,Turquoise,motorcycle
122 FYK,KMHHT6KD8EU731848,60338HTOHB,Green,car
760-MKBU,2G4GK5EX0E9098239,81920YVSAE,Crimson,motorcycle
465-HCJ,SCFAB42341K991367,49477YFEAB,Orange,car
267 JQV,5UMBT93537L901668,23876VQUMS,Mauv,track
7UYR078,WAULT68E43A089008,38793DFDZW,Blue,track
052 1561,JTDZN3EU2EJ635857,79980VVMYB,Teal,motorcycle
O 923797,4A4AP3AU5DE846712,56779CCSNT,Indigo,car
LGN-1306,JTEBU4BF2DK987020,97911PYRMW,Green,car
846 4924,JA32X8HW4AU159155,71631FGPBA,Orange,car
374 TK2,WAUXL58E35A170516,98550RDWNQ,Indigo,motorcycle
E55 3KP,WBAHN03597D690505,07267DLTLH,Mauv,track
VN 90470,1GYFC332X9R083875,67338SQJJE,Yellow,track
U95-83Z,3N1AB6AP1CL847164,17155CLUQS,Fuscia,motorcycle
AQL4744,1FTWW3B50AE706910,05321NYVGE,Puce,motorcycle
502-XPD,WBA5A7C53FD623940,34875VFWSA,Orange,motorcycle
N24 2SO,5J6TF1H36FL972218,51518DIAML,Fuscia,track
693M,1G4CW54K554853901,01714QMQHX,Khaki,track
PV5 4900,WAUDF78E96A170589,15822YJLBV,Yellow,motorcycle
1-89256,WBA3B9C52FJ203295,83776IGTGU,Khaki,car
8C 7R6MFX,WBANV9C56AC086317,69434QYOWH,Purple,car
BEB1897,1G6AR5S35E0857455,27879YNWWM,Pink,track
