contract_code,license_plate,contract_group,cost,start_date,end_date,customer_id,contract_category
HLUHQ12087,44-HC56,private,1016.08,2020-08-28,2024-08-28,08379QHHT,active
ONLJB37057,ALG-649,mixed use,2038.9,2019-02-25,2023-02-25,86956MEKE,active
DQOGW75567,0U 0335S,private,2528.98,2019-07-18,2023-07-18,88545LAYL,active
EKQHJ76493,HYK 366,mixed use,3762.07,2018-08-05,2022-08-05,60620NVYL,active
IBWNN86573,465-HCJ,professional,146.72,2019-10-27,2023-10-27,30828RHLO,active
NCUZR89154,N24 2SO,mixed use,2123.33,2018-07-20,2022-07-20,68428OEFB,active
GMMNK51544,15Y 823,private,3228.59,2022-04-21,2026-04-21,67654IKZR,active
WQVID76439,3-58615,mixed use,1043.8,2020-08-04,2024-08-04,81487OAVI,active
OIBTJ51357,5Z 7I0WSV,private,599.36,2018-05-20,2022-05-20,80341OYHN,active
PNNOP75548,GTB 435,mixed use,1757.08,2020-07-21,2024-07-21,60764GEVW,active
BMAGU67900,6127,professional,2353.54,2019-05-11,2023-05-11,23754LFSH,active
JMATX29835,3-13562X,private,1112.64,2017-10-05,2021-10-05,22519SNXK,active
UPDJP20957,7YM4070,professional,873.46,2021-04-15,2025-04-15,65496JTJS,active
MDXVJ25081,767 PJE,private,2357.46,2022-08-21,2026-08-21,59509DURL,active
WFDQC65911,QCY 464,mixed use,1566.2,2020-03-07,2024-03-07,95771UVPS,active
CVGOF72717,28033,mixed use,2839.36,2021-06-01,2025-06-01,33111FIVL,active
TWEKT91443,8BMP479,professional,3104.45,2017-11-27,2021-11-27,72654HUSA,active
XWTFB19078,GRE-025,private,1821.86,2018-09-28,2022-09-28,75753QQCE,active
WEUZR00648,DUQ4085,mixed use,3996.11,2018-01-24,2022-01-24,95040SBVL,active
CTLSX49472,SZU 900,mixed use,3336.39,2021-07-28,2025-07-28,50584GBVS,active
PZALR09788,225 JCO,private,2145.98,2022-08-18,2026-08-18,71777VLNK,active
WVGWV13281,226 WWG,mixed use,3015.92,2022-06-21,2026-06-21,02370YQOZ,active
NIOXF19846,CDC-924,mixed use,2059.4,2022-08-11,2026-08-11,15483UTSS,active
XXVNO91624,LDC6930,professional,2251.92,2021-01-02,2025-01-02,65159HQQP,active
TQZQQ81127,NIP-6327,professional,2503.12,2020-11-12,2024-11-12,51144WGEM,active
IPRUR43160,15-HM06,private,2028.38,2021-02-01,2025-02-01,49638CIFF,active
XTEYI05952,661-IYN,professional,2102.83,2021-12-15,2025-12-15,09733UOWD,active
EZOOO19263,9OD7099,mixed use,168.08,2020-05-29,2024-05-29,71982XHRY,active
EIGUK57167,IRJ4061,mixed use,1110.32,2022-12-02,2026-12-02,98657ZERQ,active
IVEGK63631,QKL-2115,private,1490.25,2021-09-27,2025-09-27,83284DBLF,active
LQBMC61436,2BE79,mixed use,1030.88,2017-09-22,2021-09-22,72610MBZX,active
BXMOZ82428,MDN 148,professional,214.45,2019-02-07,2023-02-07,55484EYRU,active
RGNUG04731,685VJJ,mixed use,807.66,2021-06-13,2025-06-13,59500UIIQ,active
CKUZL34424,6M 8N4WZH,professional,310.8,2017-05-29,2021-05-29,95771UVPS,active
GDXVN22756,0VR1058,professional,2004.92,2022-10-01,2026-10-01,57042LJVM,active
ALJBQ73015,2X CH591,private,2139.09,2020-05-31,2024-05-31,78232DVOC,active
TAYXF81935,HGW-0660,private,1882.02,2018-04-14,2022-04-14,45963BTGS,active
DSKAF93137,577-UTK,mixed use,3100.88,2022-10-14,2026-10-14,74014HHPE,active
IXSFL89525,9GXK 13,private,772.85,2018-06-18,2022-06-18,81978JEUU,active
UVIAH70361,177TCO,professional,2227.43,2022-07-02,2026-07-02,95040SBVL,active
JVFHO61755,2R 88330,professional,2929.03,2022-09-21,2026-09-21,71718MGNI,active
TGVDS59341,9MI 839,mixed use,3931.37,2022-07-29,2026-07-29,44762FKVQ,active
JGRIE70575,3RX4731,private,776.26,2020-04-09,2024-04-09,79723EUNH,active
RJCKZ09503,794-XFB,professional,3536.33,2017-10-06,2021-10-06,32776URIO,active
WUJEP27940,YKH-6327,mixed use,1668.89,2019-08-22,2023-08-22,50789WSEV,active
BYFAJ72889,6DN G71,professional,2565.41,2022-05-08,2026-05-08,91124PCFZ,active
MWZVS86916,304 HPU,professional,3147.73,2018-01-15,2022-01-15,77235BUOB,active
XRZOO05698,YQE3024,professional,2549.87,2017-09-06,2021-09-06,88392OUWV,active
MNZLE36618,I61 6TY,mixed use,905.9,2020-05-15,2024-05-15,10471PBQI,active
IAZWE15572,TV2 2438,private,940.18,2017-06-15,2021-06-15,18388XKVN,active
NQBQZ30170,7B 77677,private,1892.27,2021-07-11,2025-07-11,21171ASDE,active
MMSSJ22344,LIK-145,professional,2840.7,2020-10-29,2024-10-29,79531SQST,active
HFTWJ41884,W99 1LZ,professional,474.22,2017-08-20,2021-08-20,40695OWQR,active
GQQWI17213,TQ5 8063,private,1764.61,2022-09-05,2026-09-05,13604VPXT,active
